raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Creativity in solutions,Creativity in Solutions,conversation_observable,True,low,"Measures the degree of creativity in solutions demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of creativity in solutions.,Slight evidence of creativity in solutions; brief or weak signals.,Moderate creativity in solutions; clear but not dominant evidence.,Strong creativity in solutions; multiple clear indicators.,Very strong creativity in solutions; pervasive and compelling evidence.,,
Psychological construct: Hope scale,Psychological Construct: Hope Scale,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
565. Practice frequency: Walking meditation,Practice Frequency: Walking Meditation,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Depression (DEP),Depression (DEP),medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Understanding Mathematical Concepts,Understanding Mathematical Concepts,conversation_observable,True,low,"Measures the degree of understanding mathematical concepts demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of understanding mathematical concepts.,Slight evidence of understanding mathematical concepts; brief or weak signals.,Moderate understanding mathematical concepts; clear but not dominant evidence.,Strong understanding mathematical concepts; multiple clear indicators.,Very strong understanding mathematical concepts; pervasive and compelling evidence.,,
Hypomania (Ma),Hypomania (ma),medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Goal-Directed Behavior,Goal-directed Behavior,conversation_observable,True,low,"Measures the degree of goal-directed behavior demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of goal-directed behavior.,Slight evidence of goal-directed behavior; brief or weak signals.,Moderate goal-directed behavior; clear but not dominant evidence.,Strong goal-directed behavior; multiple clear indicators.,Very strong goal-directed behavior; pervasive and compelling evidence.,,
Depth of Emotional Connections,Depth of Emotional Connections,conversation_observable,True,low,"Measures the degree of depth of emotional connections demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of depth of emotional connections.,Slight evidence of depth of emotional connections; brief or weak signals.,Moderate depth of emotional connections; clear but not dominant evidence.,Strong depth of emotional connections; multiple clear indicators.,Very strong depth of emotional connections; pervasive and compelling evidence.,,
Binding foundations index,Binding Foundations Index,conversation_observable,True,low,"Measures the degree of binding foundations index demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of binding foundations index.,Slight evidence of binding foundations index; brief or weak signals.,Moderate binding foundations index; clear but not dominant evidence.,Strong binding foundations index; multiple clear indicators.,Very strong binding foundations index; pervasive and compelling evidence.,,
Ego Dissolution Frequency,Ego Dissolution Frequency,conversation_observable,True,low,"Measures the degree of ego dissolution frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ego dissolution frequency.,Slight evidence of ego dissolution frequency; brief or weak signals.,Moderate ego dissolution frequency; clear but not dominant evidence.,Strong ego dissolution frequency; multiple clear indicators.,Very strong ego dissolution frequency; pervasive and compelling evidence.,,
Activator: Turning thoughts into action,Activator: Turning Thoughts Into Action,conversation_observable,True,low,"Measures the degree of activator: turning thoughts into action demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of activator: turning thoughts into action.,Slight evidence of activator: turning thoughts into action; brief or weak signals.,Moderate activator: turning thoughts into action; clear but not dominant evidence.,Strong activator: turning thoughts into action; multiple clear indicators.,Very strong activator: turning thoughts into action; pervasive and compelling evidence.,,
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic Spiritual Metric: Archon Meditation Frequency,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Exemplariness,Exemplariness,conversation_observable,True,low,"Measures the degree of exemplariness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of exemplariness.,Slight evidence of exemplariness; brief or weak signals.,Moderate exemplariness; clear but not dominant evidence.,Strong exemplariness; multiple clear indicators.,Very strong exemplariness; pervasive and compelling evidence.,,
Moral and Ethical Parameters:,Moral and Ethical Parameters,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Submission:,Submission,conversation_observable,True,low,"Measures the degree of submission demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of submission.,Slight evidence of submission; brief or weak signals.,Moderate submission; clear but not dominant evidence.,Strong submission; multiple clear indicators.,Very strong submission; pervasive and compelling evidence.,,trailing_colon
Frankness,Frankness,conversation_observable,True,low,"Measures the degree of frankness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of frankness.,Slight evidence of frankness; brief or weak signals.,Moderate frankness; clear but not dominant evidence.,Strong frankness; multiple clear indicators.,Very strong frankness; pervasive and compelling evidence.,,
Psychological construct: Psychological Safety climate,Psychological Construct: Psychological Safety Climate,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Psychological construct: Self-Compassion total,Psychological Construct: Self-compassion Total,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Psychological construct: Executive-Function composite,Psychological Construct: Executive-function Composite,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Rebelliousness,Rebelliousness,conversation_observable,True,low,"Measures the degree of rebelliousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of rebelliousness in the conversation.,Minimal/isolated signs of rebelliousness.,Moderate rebelliousness apparent in several statements.,Clear and repeated rebelliousness throughout.,Pervasive rebelliousness dominating the conversation.,,
Volunteer Work,Volunteer Work,conversation_observable,True,low,"Measures the degree of volunteer work demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of volunteer work.,Slight evidence of volunteer work; brief or weak signals.,Moderate volunteer work; clear but not dominant evidence.,Strong volunteer work; multiple clear indicators.,Very strong volunteer work; pervasive and compelling evidence.,,
Intellect,Intellect,conversation_observable,True,low,"Measures the degree of intellect demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of intellect.,Slight evidence of intellect; brief or weak signals.,Moderate intellect; clear but not dominant evidence.,Strong intellect; multiple clear indicators.,Very strong intellect; pervasive and compelling evidence.,,
Use of Mathematical Formulas,Use of Mathematical Formulas,conversation_observable,True,low,"Measures the degree of use of mathematical formulas demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of use of mathematical formulas.,Slight evidence of use of mathematical formulas; brief or weak signals.,Moderate use of mathematical formulas; clear but not dominant evidence.,Strong use of mathematical formulas; multiple clear indicators.,Very strong use of mathematical formulas; pervasive and compelling evidence.,,
Coarseness,Coarseness,conversation_observable,True,low,"Measures the degree of coarseness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of coarseness in the conversation.,Minimal/isolated signs of coarseness.,Moderate coarseness apparent in several statements.,Clear and repeated coarseness throughout.,Pervasive coarseness dominating the conversation.,,
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Sensitivity,Sensitivity,conversation_observable,True,low,"Measures the degree of sensitivity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sensitivity.,Slight evidence of sensitivity; brief or weak signals.,Moderate sensitivity; clear but not dominant evidence.,Strong sensitivity; multiple clear indicators.,Very strong sensitivity; pervasive and compelling evidence.,,
Divided Attention Ability,Divided Attention Ability,conversation_observable,True,low,"Measures the degree of divided attention ability demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of divided attention ability.,Slight evidence of divided attention ability; brief or weak signals.,Moderate divided attention ability; clear but not dominant evidence.,Strong divided attention ability; multiple clear indicators.,Very strong divided attention ability; pervasive and compelling evidence.,,
Psychological construct: Acculturative Stress score,Psychological Construct: Acculturative Stress Score,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Dauntlessness,Dauntlessness,conversation_observable,True,low,"Measures the degree of dauntlessness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of dauntlessness.,Slight evidence of dauntlessness; brief or weak signals.,Moderate dauntlessness; clear but not dominant evidence.,Strong dauntlessness; multiple clear indicators.,Very strong dauntlessness; pervasive and compelling evidence.,,
Concreteness,Concreteness,conversation_observable,True,low,"Measures the degree of concreteness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of concreteness.,Slight evidence of concreteness; brief or weak signals.,Moderate concreteness; clear but not dominant evidence.,Strong concreteness; multiple clear indicators.,Very strong concreteness; pervasive and compelling evidence.,,
Hysteria (Hy),Hysteria (hy),medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish Spiritual Metric: Sukkot Lulav-shaking Days,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Sentence Structure,Sentence Structure,conversation_observable,True,low,"Measures the degree of sentence structure demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sentence structure.,Slight evidence of sentence structure; brief or weak signals.,Moderate sentence structure; clear but not dominant evidence.,Strong sentence structure; multiple clear indicators.,Very strong sentence structure; pervasive and compelling evidence.,,
Esteem Needs,Esteem Needs,conversation_observable,True,low,"Measures the degree of esteem needs demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of esteem needs.,Slight evidence of esteem needs; brief or weak signals.,Moderate esteem needs; clear but not dominant evidence.,Strong esteem needs; multiple clear indicators.,Very strong esteem needs; pervasive and compelling evidence.,,
Understanding mechanical concepts,Understanding Mechanical Concepts,conversation_observable,True,low,"Measures the degree of understanding mechanical concepts demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of understanding mechanical concepts.,Slight evidence of understanding mechanical concepts; brief or weak signals.,Moderate understanding mechanical concepts; clear but not dominant evidence.,Strong understanding mechanical concepts; multiple clear indicators.,Very strong understanding mechanical concepts; pervasive and compelling evidence.,,
Auditory Memory Recall,Auditory Memory Recall,conversation_observable,True,low,"Measures the degree of auditory memory recall demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of auditory memory recall.,Slight evidence of auditory memory recall; brief or weak signals.,Moderate auditory memory recall; clear but not dominant evidence.,Strong auditory memory recall; multiple clear indicators.,Very strong auditory memory recall; pervasive and compelling evidence.,,
Storytelling proficiency,Storytelling Proficiency,conversation_observable,True,low,"Measures the degree of storytelling proficiency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of storytelling proficiency.,Slight evidence of storytelling proficiency; brief or weak signals.,Moderate storytelling proficiency; clear but not dominant evidence.,Strong storytelling proficiency; multiple clear indicators.,Very strong storytelling proficiency; pervasive and compelling evidence.,,
Music-lessons years,Music-lessons Years,conversation_observable,True,low,"Measures the degree of music-lessons years demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of music-lessons years.,Slight evidence of music-lessons years; brief or weak signals.,Moderate music-lessons years; clear but not dominant evidence.,Strong music-lessons years; multiple clear indicators.,Very strong music-lessons years; pervasive and compelling evidence.,,
Warmheartedness,Warmheartedness,conversation_observable,True,low,"Measures the degree of warmheartedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of warmheartedness.,Slight evidence of warmheartedness; brief or weak signals.,Moderate warmheartedness; clear but not dominant evidence.,Strong warmheartedness; multiple clear indicators.,Very strong warmheartedness; pervasive and compelling evidence.,,
Self-effacement,Self-effacement,conversation_observable,True,low,"Measures the degree of self-effacement demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self-effacement.,Slight evidence of self-effacement; brief or weak signals.,Moderate self-effacement; clear but not dominant evidence.,Strong self-effacement; multiple clear indicators.,Very strong self-effacement; pervasive and compelling evidence.,,
Outspokenness,Outspokenness,conversation_observable,True,low,"Measures the degree of outspokenness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of outspokenness.,Slight evidence of outspokenness; brief or weak signals.,Moderate outspokenness; clear but not dominant evidence.,Strong outspokenness; multiple clear indicators.,Very strong outspokenness; pervasive and compelling evidence.,,
Sleep-environment temperature,Sleep-environment Temperature,conversation_observable,True,low,"Measures the degree of sleep-environment temperature demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sleep-environment temperature.,Slight evidence of sleep-environment temperature; brief or weak signals.,Moderate sleep-environment temperature; clear but not dominant evidence.,Strong sleep-environment temperature; multiple clear indicators.,Very strong sleep-environment temperature; pervasive and compelling evidence.,,
Comprehension of spoken information,Comprehension of Spoken Information,conversation_observable,True,low,"Measures the degree of comprehension of spoken information demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of comprehension of spoken information.,Slight evidence of comprehension of spoken information; brief or weak signals.,Moderate comprehension of spoken information; clear but not dominant evidence.,Strong comprehension of spoken information; multiple clear indicators.,Very strong comprehension of spoken information; pervasive and compelling evidence.,,
Blissfulness,Blissfulness,conversation_observable,True,low,"Measures the degree of blissfulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of blissfulness.,Slight evidence of blissfulness; brief or weak signals.,Moderate blissfulness; clear but not dominant evidence.,Strong blissfulness; multiple clear indicators.,Very strong blissfulness; pervasive and compelling evidence.,,
Sequential Memory Recall,Sequential Memory Recall,conversation_observable,True,low,"Measures the degree of sequential memory recall demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sequential memory recall.,Slight evidence of sequential memory recall; brief or weak signals.,Moderate sequential memory recall; clear but not dominant evidence.,Strong sequential memory recall; multiple clear indicators.,Very strong sequential memory recall; pervasive and compelling evidence.,,
Withdrawnness,Withdrawnness,conversation_observable,True,low,"Measures the degree of withdrawnness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of withdrawnness in the conversation.,Minimal/isolated signs of withdrawnness.,Moderate withdrawnness apparent in several statements.,Clear and repeated withdrawnness throughout.,Pervasive withdrawnness dominating the conversation.,,
892. Hindu spiritual metric: Yoga discipline hours / week,Hindu Spiritual Metric: Yoga Discipline Hours / Week,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Conservatism,Conservatism,conversation_observable,True,low,"Measures the degree of conservatism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of conservatism.,Slight evidence of conservatism; brief or weak signals.,Moderate conservatism; clear but not dominant evidence.,Strong conservatism; multiple clear indicators.,Very strong conservatism; pervasive and compelling evidence.,,
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
898. Hindu spiritual metric: Vrata vows observed / year,Hindu Spiritual Metric: Vrata Vows Observed / Year,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Ardency,Ardency,conversation_observable,True,low,"Measures the degree of ardency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ardency.,Slight evidence of ardency; brief or weak signals.,Moderate ardency; clear but not dominant evidence.,Strong ardency; multiple clear indicators.,Very strong ardency; pervasive and compelling evidence.,,
Aesthetic Appreciation,Aesthetic Appreciation,conversation_observable,True,low,"Measures the degree of aesthetic appreciation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of aesthetic appreciation.,Slight evidence of aesthetic appreciation; brief or weak signals.,Moderate aesthetic appreciation; clear but not dominant evidence.,Strong aesthetic appreciation; multiple clear indicators.,Very strong aesthetic appreciation; pervasive and compelling evidence.,,
Transactional Leadership:,Transactional Leadership,conversation_observable,True,low,"Measures the degree of transactional leadership demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of transactional leadership.,Slight evidence of transactional leadership; brief or weak signals.,Moderate transactional leadership; clear but not dominant evidence.,Strong transactional leadership; multiple clear indicators.,Very strong transactional leadership; pervasive and compelling evidence.,,trailing_colon
Value orientation: Universalism,Value Orientation: Universalism,conversation_observable,True,low,"Measures the degree of value orientation: universalism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of value orientation: universalism.,Slight evidence of value orientation: universalism; brief or weak signals.,Moderate value orientation: universalism; clear but not dominant evidence.,Strong value orientation: universalism; multiple clear indicators.,Very strong value orientation: universalism; pervasive and compelling evidence.,,
Perseverance,Perseverance,conversation_observable,True,low,"Measures the degree of perseverance demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of perseverance.,Slight evidence of perseverance; brief or weak signals.,Moderate perseverance; clear but not dominant evidence.,Strong perseverance; multiple clear indicators.,Very strong perseverance; pervasive and compelling evidence.,,
Regularity of Self-Reflection,Regularity of Self-reflection,conversation_observable,True,low,"Measures the degree of regularity of self-reflection demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of regularity of self-reflection.,Slight evidence of regularity of self-reflection; brief or weak signals.,Moderate regularity of self-reflection; clear but not dominant evidence.,Strong regularity of self-reflection; multiple clear indicators.,Very strong regularity of self-reflection; pervasive and compelling evidence.,,
Controlling Reactions,Controlling Reactions,conversation_observable,True,low,"Measures the degree of controlling reactions demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of controlling reactions.,Slight evidence of controlling reactions; brief or weak signals.,Moderate controlling reactions; clear but not dominant evidence.,Strong controlling reactions; multiple clear indicators.,Very strong controlling reactions; pervasive and compelling evidence.,,
Psychological construct: Cultural Intelligence – Behavioral,Psychological Construct: Cultural Intelligence – Behavioral,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Metabolic Rate (Low or High),Metabolic Rate (low or High),medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Dietary Habits,Dietary Habits,conversation_observable,True,low,"Measures the degree of dietary habits demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of dietary habits.,Slight evidence of dietary habits; brief or weak signals.,Moderate dietary habits; clear but not dominant evidence.,Strong dietary habits; multiple clear indicators.,Very strong dietary habits; pervasive and compelling evidence.,,
Significance: Desire to make an impact,Significance: Desire to Make an Impact,conversation_observable,True,low,"Measures the degree of significance: desire to make an impact demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of significance: desire to make an impact.,Slight evidence of significance: desire to make an impact; brief or weak signals.,Moderate significance: desire to make an impact; clear but not dominant evidence.,Strong significance: desire to make an impact; multiple clear indicators.,Very strong significance: desire to make an impact; pervasive and compelling evidence.,,
Psychological construct: Resilience-Trait score,Psychological Construct: Resilience-trait Score,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Boredom Susceptibility,Boredom Susceptibility,conversation_observable,True,low,"Measures the degree of boredom susceptibility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of boredom susceptibility.,Slight evidence of boredom susceptibility; brief or weak signals.,Moderate boredom susceptibility; clear but not dominant evidence.,Strong boredom susceptibility; multiple clear indicators.,Very strong boredom susceptibility; pervasive and compelling evidence.,,
Psychological construct: Consummatory Pleasure scale,Psychological Construct: Consummatory Pleasure Scale,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Leadership Styles and Behaviors:,Leadership Styles and Behaviors,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
723. I Ching hexagram 5 resonance level,I Ching Hexagram 5 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Macronutrient ratio: carbs,Macronutrient Ratio: Carbs,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Passport-stamps count,Passport-stamps Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Local-food sourcing %,Local-food Sourcing %,conversation_observable,True,low,"Measures the degree of local-food sourcing % demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of local-food sourcing %.,Slight evidence of local-food sourcing %; brief or weak signals.,Moderate local-food sourcing %; clear but not dominant evidence.,Strong local-food sourcing %; multiple clear indicators.,Very strong local-food sourcing %; pervasive and compelling evidence.,,
Patient care orientation,Patient Care Orientation,conversation_observable,True,low,"Measures the degree of patient care orientation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of patient care orientation.,Slight evidence of patient care orientation; brief or weak signals.,Moderate patient care orientation; clear but not dominant evidence.,Strong patient care orientation; multiple clear indicators.,Very strong patient care orientation; pervasive and compelling evidence.,,
Soft-skill training hours,Soft-skill Training Hours,conversation_observable,True,low,"Measures the degree of soft-skill training hours demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of soft-skill training hours.,Slight evidence of soft-skill training hours; brief or weak signals.,Moderate soft-skill training hours; clear but not dominant evidence.,Strong soft-skill training hours; multiple clear indicators.,Very strong soft-skill training hours; pervasive and compelling evidence.,,
Graffiti appreciation,Graffiti Appreciation,conversation_observable,True,low,"Measures the degree of graffiti appreciation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of graffiti appreciation.,Slight evidence of graffiti appreciation; brief or weak signals.,Moderate graffiti appreciation; clear but not dominant evidence.,Strong graffiti appreciation; multiple clear indicators.,Very strong graffiti appreciation; pervasive and compelling evidence.,,
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-cooked vs Restaurant Meals,conversation_observable,True,low,"Measures the degree of preference for home-cooked vs restaurant meals demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of preference for home-cooked vs restaurant meals.,Slight evidence of preference for home-cooked vs restaurant meals; brief or weak signals.,Moderate preference for home-cooked vs restaurant meals; clear but not dominant evidence.,Strong preference for home-cooked vs restaurant meals; multiple clear indicators.,Very strong preference for home-cooked vs restaurant meals; pervasive and compelling evidence.,,
Immune-response age,Immune-response Age,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Social-cognition variable: Cognitive Empathy,Social-cognition Variable: Cognitive Empathy,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Kink-interest diversity,Kink-interest Diversity,conversation_observable,True,high,"Measures the degree of kink-interest diversity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of kink-interest diversity.,Slight evidence of kink-interest diversity; brief or weak signals.,Moderate kink-interest diversity; clear but not dominant evidence.,Strong kink-interest diversity; multiple clear indicators.,Very strong kink-interest diversity; pervasive and compelling evidence.,,
Adaptability and Flexibility:,Adaptability and Flexibility,conversation_observable,True,low,"Measures the degree of adaptability and flexibility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of adaptability and flexibility.,Slight evidence of adaptability and flexibility; brief or weak signals.,Moderate adaptability and flexibility; clear but not dominant evidence.,Strong adaptability and flexibility; multiple clear indicators.,Very strong adaptability and flexibility; pervasive and compelling evidence.,,trailing_colon
Judging Consequences,Judging Consequences,conversation_observable,True,low,"Measures the degree of judging consequences demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of judging consequences.,Slight evidence of judging consequences; brief or weak signals.,Moderate judging consequences; clear but not dominant evidence.,Strong judging consequences; multiple clear indicators.,Very strong judging consequences; pervasive and compelling evidence.,,
Harmfulness,Harmfulness,conversation_observable,True,low,"Measures the degree of harmfulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of harmfulness in the conversation.,Minimal/isolated signs of harmfulness.,Moderate harmfulness apparent in several statements.,Clear and repeated harmfulness throughout.,Pervasive harmfulness dominating the conversation.,,
Affinity,Affinity,conversation_observable,True,low,"Measures the degree of affinity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of affinity.,Slight evidence of affinity; brief or weak signals.,Moderate affinity; clear but not dominant evidence.,Strong affinity; multiple clear indicators.,Very strong affinity; pervasive and compelling evidence.,,
Abasement,Abasement,conversation_observable,True,low,"Measures the degree of abasement demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of abasement.,Slight evidence of abasement; brief or weak signals.,Moderate abasement; clear but not dominant evidence.,Strong abasement; multiple clear indicators.,Very strong abasement; pervasive and compelling evidence.,,
Chronic pain presence,Chronic Pain Presence,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
520. Discernment practice hours / week,Discernment Practice Hours / Week,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Initiative,Initiative,conversation_observable,True,low,"Measures the degree of initiative demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of initiative.,Slight evidence of initiative; brief or weak signals.,Moderate initiative; clear but not dominant evidence.,Strong initiative; multiple clear indicators.,Very strong initiative; pervasive and compelling evidence.,,
Courageousness,Courageousness,conversation_observable,True,low,"Measures the degree of courageousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of courageousness.,Slight evidence of courageousness; brief or weak signals.,Moderate courageousness; clear but not dominant evidence.,Strong courageousness; multiple clear indicators.,Very strong courageousness; pervasive and compelling evidence.,,
Joyfulness,Joyfulness,conversation_observable,True,low,"Measures the degree of joyfulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of joyfulness.,Slight evidence of joyfulness; brief or weak signals.,Moderate joyfulness; clear but not dominant evidence.,Strong joyfulness; multiple clear indicators.,Very strong joyfulness; pervasive and compelling evidence.,,
Suspicion,Suspicion,conversation_observable,True,low,"Measures the degree of suspicion demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of suspicion in the conversation.,Minimal/isolated signs of suspicion.,Moderate suspicion apparent in several statements.,Clear and repeated suspicion throughout.,Pervasive suspicion dominating the conversation.,,
Basophil count,Basophil Count,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Attachment avoidance score,Attachment Avoidance Score,conversation_observable,True,low,"Measures the degree of attachment avoidance score demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of attachment avoidance score.,Slight evidence of attachment avoidance score; brief or weak signals.,Moderate attachment avoidance score; clear but not dominant evidence.,Strong attachment avoidance score; multiple clear indicators.,Very strong attachment avoidance score; pervasive and compelling evidence.,,
Time Orientation End Points:,Time Orientation End Points,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
